今日日期,2024-02-16
公司,職稱,工作內容,薪資
Taiwan AI Labs_雅婷智慧股份有限公司,ML Engineer機器學習工程師,"新技術與論文，並且在數十萬小時的真實資料上面進行實驗與開發。在這裡可以解決真實問題，並且快速在產品上面的到驗證。

機器學習工程師需要有閱讀論文並且解決實際問題的能力，會需要進行資料清理，訓練，必要時需要更改模型框架，並且能夠與應用端溝通提出解法，",待遇面議
澳門商奧維方案工程有限公司,機器學習工程師 / Machine Learning Engineer,"重團隊合作和有效溝通，期待您加入我們充滿活力且支持遠程工作的公司文化。如果您認為自己是一個優秀的團隊合作者並且對數位遊牧感興趣，快來加入我們，共同打造創新的數位解決方案！

【職位描述】
我們正在尋找一位經驗豐富的機器學習工程師，專注於開發和優化移",待遇面議
夏酷科技股份有限公司,Machine Learning Engineer 機器學習工程師,"1. Collaborate with clients to clarify the main pain points, stakeholders, use cases, requirements, goals, and acceptance criteria. 
2. Transform domain-specific problems into machine learning or data science problems.
3. Familiarize yourself with GCP ML solutions, including Vertex AI, BQML, and Generative AI.
4. Proficient in utilizing various ML development frameworks for model development and deployment.

[Essential]
1. Master degree in Computer Science, Electrical Engineering, Mathematics, Statistics, or an equivalent degree in a related field.
2. Familiar with ML/DL Framework, e.g. Pytorch, Tensorflow or XGBoost.
3. Experience in cloud platform development(GCP, Azure, or AWS).
4. Experience in containerization technologies such as Docker and Kubernetes.
5. Experience with API design and implementation.
6. Strong problem-solving skill and passion for learning and sharing.
7. Excellent organization and communication skills.

[Bonus]
1. Proficient in specific fields of ML, e.g. NLP, recommender system.
2. Experience in development using ML services(Vertex AI) on GCP.
3. Experience in distributed computing and MLOps.
4. Experienced in performing exploratory data analysis on large datasets.
5. Familiar with business application scenarios and system design of machine learning",待遇面議
和運租車股份有限公司,"機器學習工程師【和運租車, 年薪15個月】","【工作內容】	
1.參與機器學習和深度學習項目的設計、開發和實施	
2.影像辨識技術開發	
3.具有豐富的機器學習、深度學習和人工智慧相關經驗，包括模型設計、訓練、調優和部署	
4.精通常用的ML/DL框架，以python與R為主但不限，也熟悉資","月薪45,000~80,000元"
美國融文國際營銷有限公司,Machine Learning Engineer/機器學習工程師,"Job Title: Machine Learning Engineer
Location: Taipei, Taiwan (MRT Zhongxiao Dunhua Station)
Salary Range: NTD 700,000 ~ 900,000/ Month
Working Hours: 10:00-18:00, Mon.-Thur., 10:00-16:30, Fri.
Holiday: Taiwan official + Western holidays (around 25 days in total in 2024; no make-up days required)

Please provide an English resume for our review.

Job Description:

● Machine Learning Model Development: Design, develop, and implement machine learning models and algorithms to address business challenges and improve performance across various domains such as marketing
● Data Analysis and Preprocessing: Analyze and preprocess large-scale datasets to extract meaningful insights and identify relevant features for model development. Cleanse transform, and normalize data to ensure data quality and consistency.
● Model Training and Evaluation: Implement and optimize machine learning models using appropriate frameworks and tools. Train models using supervised and unsupervised learning techniques, and evaluate their performance using statistical metrics and validation techniques.
● Collaborative Approach: Collaborate with cross-functional teams, including data engineers, business analysts, and domain experts, to understand business requirements and translate them into actionable machine learning solutions.
● Research and Innovation: Stay up-to-date with the latest advancements in machine learning, data science, and related fields. Continuously explore and evaluate new algorithms, methodologies, and tools to enhance the company's data capabilities and competitive advantage.
● Documentation and Reporting: Document all stages of the machine learning model development process, including data collection, preprocessing, model architecture, and evaluation results. Prepare reports and presentations to communicate findings and recommendations to both technical and non-technical stakeholders.","年薪700,000~900,000元"
瑞嘉軟體科技股份有限公司,【ML】Machine Learning Engineer / 機器學習工程師,"• Perform feature engineering, building and optimizing classifiers using machine learning techniques.
• Data mining using state-of-the-art methods.
• Design and implement software systems and tools for internal process automation based on data mining and machine learning techniques.
• Design, implement, and operate data analytics platforms for business intelligence analysis.
• Provide data insights and develop data intelligence solutions/reports for business decisions.
• Work with other teams to assist with data-related technical issues and support their data infrastructure needs.
• Evaluate and identify the use of new or existing software products and technologies.
• Perform other duties as necessary.","月薪60,060~153,275元"
萬達人工智慧科技股份有限公司,機器學習工程師 /  Machine Learning Engineer,"較強的閱讀和寫作能力。
6、熟悉Python和數據工具，如Pandas，Matplotlib，Numpy。
7、廣泛的端到端機器學習渠道活動，包括框架AI問題，數據挖掘/結構化/收集/預處理/探索，模型開發/評估，模型部署/監控。
8、您將成爲一個","月薪60,000~100,000元"
叡揚資訊股份有限公司,Machine Learning Engineer (CV) 機器學習工程師 (電腦視覺)(24013102),"### Qualifications

- Master’s degree or equivalent practical experience.
- Familiarity with machine learning development frameworks (PyTorch / HuggingFace / PyTorch Lightning, etc.).
- Experience in Python, SQL, Git, and Web API frameworks ( Flask / FastAPI, etc.).
- Experience in developing machine learning projects.
- Strong teamwork and communication skills.

### About The Job

Hi there, we, DCS (Department of Cognition and Sensing) teams, are built up of Data sciences / Machine Learning (ML) talents and architecture engineers who have passion and ideas for trying new stuff. We are focusing on pioneering new approaches to enhance existing services while simultaneously working towards creating novel solutions. The aim is to provide customers with intelligent office services, leveraging AI or, technically say, ""machine learning,"" to improve their workflow and save valuable time. What a wonderful world, right? :-)

We are seeking those who are interested in Computer Vision (CV) and Multi-modal research. In the realm of CV, numerous image processing requirements exist in various industries. Our team develops ML solutions utilizing deep learning and CV algorithms, including Optical Character Recognition (OCR), Key Information Extraction (KIE), Layout Analysis, and Visual Search. Additionally, we're interested in challenging projects such as visual question answering and multi-modal applications. We are devoted to applying these intelligent solutions to practices.

All of these research and development will corporate with different business groups. You have lots of opportunities to accumulate various experiences from each project. We also encourage you to attend technical conferences to learn new stuff. Moreover, all members in DCS have chances to share your ideas and experiences with our stakeholders and whole members of GSS. If you are interested in machine learning development and like to implement it in real world, DCS is one of the good places for you :-)

### Responsibilities

- Design and develop ML solutions, packaging them into APIs for different projects.
- Stay updated on the latest SOTA (State-of-the-Art) and novel research papers and relevant developments.
- Collaborate with other business groups to design suitable requirements for customers.
- Optimize ML solutions and deploy them to local/cloud devices with various hardware capabilities.",待遇面議
洞見未來科技股份有限公司,Machine Learning Engineer 機器學習工程師,"We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence audio products. You will lead all the processes from data collection, cleaning, and preprocessing, to training models and deploying them to production.

Responsibilities
● Design machine learning model for audio applications (like noise reduction / speech separation / speech recognition).
● Research and implement appropriate ML algorithms and tools.
● Develop and optimize ML applications according to requirements.
● Run machine learning tests and experiments.
● Perform statistical analysis and fine-tuning using test results.

Requirements and skills
● Proven experience as a Machine Learning Engineer or similar role.
● Deep knowledge of math, probability, statistics and algorithms.
● Advanced proficiency with Python; Familiarity with C/C++ is a plus.
● Familiarity with machine learning frameworks (like Keras / Tensorflow /PyTorch) and libraries (like scikit-learn).
● Great communication and collaboration skills.
● Outstanding analytical and problem-solving skills.
● Excellent time management and organizational abilities.",待遇面議
瑞嘉軟體科技股份有限公司,【ML】Sr. Machine Learning Engineer / 資深機器學習工程師,"• Perform feature engineering, building and optimizing classifiers using machine learning techniques.
• Data mining using state-of-the-art methods.
• Design and implement software systems and tools for internal process automation  based on data mining and machine learning techniques.
• Design, implement, and operate data analytics platforms for business intelligence analysis.
• Provide data insights and develop data intelligence solutions/reports for business decisions.
• Work with other teams to assist with data-related technical issues and support their data infrastructure needs.
• Evaluate and identify the use of new or existing software products and technologies.
• Perform other duties as necessary.","年薪1,300,000~2,000,000元"
